date,symbol,actualEarningResult,estimatedEarning
2020-11-17,HD,3.18,3.06
2020-11-17,SNWV,-0.02,-0.01
2020-11-17,HJLI,-0.05,-0.05
2020-11-16,MARK,0.04,-0.04
2020-11-17,WMT,1.34,1.18
2020-11-17,ITMR,-0.2,-0.15
2020-11-17,PAYS,-0.14,0.02
2020-11-17,SE,-0.69,-0.53
2020-11-17,NIO,-0.82,-1.11
2020-11-17,AP,0.07,0.06
2020-11-17,ATEX,-0.94,-0.56
2020-11-17,AYLA,-0.59,-0.54
2020-11-17,CUE,-0.34,-0.38
2020-11-17,CBNT,0.02,-0.01
2020-11-17,LEGH,0.35,0.32
2020-11-17,FKWL,0.64,0.19
2020-11-17,LODE,-0.03,0.51
2020-11-17,CWCO,0.09,0.15
2020-11-17,GNLN,-0.16,-0.1
2020-11-17,NGS,-0.04,-0.07
2020-11-17,PAVM,-0.11,-0.1
2020-11-17,PTN,-0.02,-0.01
2020-11-18,AYRSF,-0.96,-0.13
2020-11-18,ITRN,0.45,0.32
2020-11-18,BBWI,1.13,0.09
2020-11-18,AVYA,1.29,1.2
2020-11-18,KLIC,0.29,0.31
2020-11-18,AMKBF,48,48.43
2020-11-18,BRSYF,-0.04,-0.04
2020-11-18,SPRB,-12.35,-0.51
2020-11-18,BV,0.37,0.37
2020-11-18,BILI,-2.76,-2.46
2020-11-18,JACK,1.61,1.14
2020-11-18,KRON,-6.48,-1.47
2020-11-18,NUAN,0.18,0.16
2020-11-18,SHIP,0.04,0.12
2020-11-18,NVDA,2.91,2.57
2020-11-18,CPRT,0.79,0.71
2020-11-18,CHEK,-0.09,-0.08
2020-11-18,SQM,0.01,0.22
2020-11-18,TGT,2.79,1.6
2020-11-18,TJX,0.71,0.4
2020-11-18,SCVL,1.03,0.7
2020-11-18,ZTO,1.53,1.49
2020-11-18,UGI,-0.14,-0.3
2020-11-18,PFLT,0.27,0.26
2020-11-18,CPA,-2.86,-2.74
2020-11-18,LOW,1.98,1.99
2020-11-18,WLFFF,-0.01,-0.01
2020-11-18,KC,-0.8,-1.07
2020-11-18,CUB,2.82,2.04
2020-11-18,PAGS,1,1.06
2020-11-18,EDAP,-0.03,-0.01
2020-11-18,ERJ,-0.81,-0.45
2020-11-18,SGLJF,1.37,1.24
2020-11-18,KEYS,1.62,1.46
2020-11-18,UTI,0.09,0.09
2020-11-18,MICT,-0.07,-0.1
2020-11-18,SR,-0.37,-0.41
2020-11-18,KNOP,0.77,0.66
2020-10-28,BRKL,0.24,0.24
2020-10-28,BSX,0.37,0.25
2020-11-19,QFIN,8.34,5.56
2020-11-19,JOBS,3.57,3.31
2020-11-19,AMSWA,0.05,0.05
2020-11-19,ASYS,-0.14,-0.08
2020-11-19,ATKR,1.18,0.68
2020-11-19,AZYO,-10.38,-4.37
2020-11-19,DLA,0.71,0.55
2020-11-19,BERY,1.59,1.22
2020-11-19,SGBX,-0.17,0.04
2020-11-19,BJ,0.92,0.65
2020-11-19,ENTX,-0.09,-0.2
2020-11-19,BECN,1.32,0.99
2020-11-19,BKHPF,0.61,0.3
2020-11-19,BEST,-1.57,-0.61
2020-11-19,CDAK,-12.83,-5.5
2020-11-19,BRC,0.64,0.57
2020-11-19,BHTG,-0.16,-0.13
2020-11-19,OCSI,0.13,0.12
2020-11-19,PNNT,0.14,0.15
2020-11-19,CAL,0.48,0.04
2020-11-19,MCFE,0.34,0.35
2020-11-19,TRSSF,-0.11,-0.01
2020-11-19,CSIQ,0.15,-0.05
2020-11-19,OCSL,0.17,0.12
2020-11-19,MATW,1.11,0.85
2020-11-19,PLCE,1.44,0.36
2020-11-19,DADA,-1.44,-1.52
2020-11-19,ESE,0.9,0.76
2020-11-19,EAR,-0.02,-0.34
2020-11-19,ESEA,0.01,-0.13
2020-11-19,GOGL,0.25,0.16
2020-11-19,HMLP,0.49,0.41
2020-11-19,POST,0.58,0.77
2020-11-19,HP,-0.74,-0.8
2020-11-19,WWD,0.75,0.54
2020-11-19,ONEW,0.23,0.61
2020-11-19,M,-0.19,-0.79
2020-11-19,ROST,1.02,0.61
2020-11-19,LONEQ,0.91,-0.04
2020-11-19,MMS,1.02,0.89
2020-11-19,OOMA,0.13,0.08
