eps,estimate,error
0.14,0.23800000000000004,-0.09800000000000003
0.74,0.8539999999999999,-0.11399999999999988
1.38,1.3730000000000002,0.006999999999999673
0.53,0.797,-0.267
-0.03,-0.0025999999999999994,-0.0274
0.58,0.45299999999999996,0.127
0.25,-0.039,0.289
1.11,1.207,-0.09699999999999998
-0.41,0.164,-0.574
1.14,1.2020000000000002,-0.06200000000000028
0.25,0.24400000000000005,0.00599999999999995
0.25,0.248,0.0020000000000000018
0.21,0.182,0.027999999999999997
1.02,0.99,0.030000000000000027
0.94,1.084,-0.14400000000000013
0.93,0.8140000000000001,0.11599999999999999
0.24,0.19899999999999998,0.04100000000000001
0.52,0.547,-0.027000000000000024
0.92,0.877,0.04300000000000004
-0.4,-0.422,0.021999999999999964
0.88,0.725,0.15500000000000003
0.87,0.292,0.5780000000000001
5.29,4.029,1.2610000000000001
0.14,0.06100000000000001,0.079
0.6,0.892,-0.29200000000000004
0.65,0.5359999999999999,0.1140000000000001
0.57,0.497,0.07299999999999995
1.29,1.246,0.04400000000000004
1.2,1.1170000000000002,0.08299999999999974
-0.46,-0.056000000000000015,-0.404
1.39,1.318,0.07199999999999984
0.07,0.074,-0.00399999999999999
1.34,1.383,-0.04299999999999993
-1.2,-0.7950000000000002,-0.4049999999999998
0.45,0.446,0.0040000000000000036
0.08,0.10300000000000001,-0.023000000000000007
0.87,0.9009999999999998,-0.030999999999999805
1.0,1.0030000000000001,-0.0030000000000001137
-0.01,-0.012032295699999999,0.002032295699999999
0.06,0.11600000000000002,-0.05600000000000002
-1.35,-1.548,0.19799999999999995
0.94,1.0490000000000002,-0.10900000000000021
-0.74,-0.7420000000000001,0.002000000000000113
-0.13,-0.11400000000000002,-0.015999999999999986
0.78,0.8869999999999999,-0.10699999999999987
0.62,0.6120000000000001,0.007999999999999896
-0.03,-0.048,0.018000000000000002
-1.58,-0.8,-0.78
0.66,0.687,-0.027000000000000024
0.53,0.551,-0.02100000000000002
1.29,2.125,-0.835
-0.49,-0.27199999999999996,-0.21800000000000003
0.33,0.30500000000000005,0.024999999999999967
-1.2,-1.194,-0.006000000000000005
4.5,3.9,0.6000000000000001
0.92,0.9000000000000001,0.019999999999999907
1.35,1.237,0.11299999999999999
-2.04,-2.207,0.16699999999999982
0.21,0.118,0.092
1.08,0.3350000000000001,0.745
0.31,0.303,0.007000000000000006
0.46,0.55,-0.09000000000000002
0.34,0.41999999999999993,-0.0799999999999999
0.65,0.6580000000000001,-0.008000000000000118
1.95,2.0479999999999996,-0.09799999999999964
0.67,1.253,-0.5829999999999999
-0.49,-0.46399999999999997,-0.026000000000000023
0.24,0.265,-0.025000000000000022
1.05,0.5650000000000001,0.485
3.01,3.0549999999999997,-0.04499999999999993
3.51,3.9140000000000006,-0.4040000000000008
0.42,0.45,-0.030000000000000027
4.34,4.09,0.25
0.14,0.16200000000000006,-0.022000000000000047
0.38,0.418,-0.03799999999999998
0.37,0.383,-0.013000000000000012
0.5,0.5129999999999999,-0.0129999999999999
2.63,2.9550000000000005,-0.3250000000000006
-0.12,-0.34299999999999997,0.22299999999999998
-0.8,-0.7470000000000001,-0.052999999999999936
0.44,0.49400000000000005,-0.05400000000000005
0.63,0.644,-0.014000000000000012
0.32,0.296,0.02400000000000002
0.34,0.2899999999999999,0.0500000000000001
0.35,0.13799999999999996,0.21200000000000002
0.72,0.8019999999999999,-0.08199999999999996
4.09,3.871,0.21899999999999986
1.87,2.122,-0.2519999999999998
1.68,1.6320000000000001,0.04799999999999982
0.33,0.352,-0.021999999999999964
0.77,0.5850000000000002,0.18499999999999983
0.62,0.76,-0.14
0.35,0.39,-0.040000000000000036
0.72,0.7650000000000001,-0.04500000000000015
0.64,0.9029999999999999,-0.2629999999999999
0.28,0.26399999999999996,0.01600000000000007
-0.06,-0.024,-0.036
2.24,2.5409999999999995,-0.30099999999999927
2.27,2.441,-0.17099999999999982
3.11,2.928,0.18199999999999994
-0.54,-0.40099999999999997,-0.13900000000000007
0.3,0.44800000000000006,-0.14800000000000008
0.82,0.7959999999999999,0.02400000000000002
1.69,1.406,0.28400000000000003
0.69,0.6889999999999998,0.001000000000000112
0.13,0.16899999999999998,-0.03899999999999998
1.9,1.8370000000000002,0.06299999999999972
0.11,0.086,0.024000000000000007
0.31,0.227,0.08299999999999999
0.34,0.31799999999999995,0.022000000000000075
2.0,2.3840000000000003,-0.38400000000000034
0.4,0.43200000000000005,-0.03200000000000003
-1.48,-1.325,-0.15500000000000003
0.53,0.638,-0.10799999999999998
0.4,0.425,-0.024999999999999967
0.38,-0.0030000000000000083,0.383
0.58,0.475,0.10499999999999998
-0.11,-0.129,0.019000000000000003
0.37,0.3670000000000001,0.0029999999999998916
1.12,1.0690000000000002,0.050999999999999934
-0.14,-0.148,0.00799999999999998
-0.25,-0.8110000000000002,0.5610000000000002
-0.06,-0.21100000000000002,0.15100000000000002
-0.52,-0.176,-0.34400000000000003
0.41,0.398,0.011999999999999955
1.65,1.6169999999999998,0.03300000000000014
0.32,0.417,-0.09699999999999998
0.14,0.14600000000000002,-0.006000000000000005
-2.4,-2.116,-0.2839999999999998
1.21,1.279,-0.06899999999999995
0.76,0.771,-0.01100000000000001
0.47,0.398,0.07199999999999995
0.5,0.5110000000000001,-0.01100000000000012
0.48,0.5119999999999999,-0.03199999999999992
0.58,0.624,-0.04400000000000004
0.36,0.37,-0.010000000000000009
0.07,-0.413,0.483
0.27,0.30999999999999994,-0.039999999999999925
-0.89,-0.6429999999999999,-0.2470000000000001
0.33,0.37299999999999994,-0.04299999999999993
0.08,-0.033999999999999996,0.11399999999999999
0.14,0.129,0.01100000000000001
0.65,0.836,-0.18599999999999994
1.02,0.662,0.358
-0.12,-0.223,0.10300000000000001
0.44,0.446,-0.006000000000000005
1.7,2.8890000000000002,-1.1890000000000003
0.04,-0.03566670000000001,0.0756667
-0.1,-0.289,0.18899999999999997
0.97,0.8950000000000001,0.07499999999999984
0.97,0.31599999999999995,0.654
3.01,1.6849999999999998,1.325
0.41,0.434,-0.02400000000000002
0.21,0.186,0.023999999999999994
1.7,0.892,0.8079999999999999
5.61,7.117999999999999,-1.5079999999999991
0.48,0.369,0.11099999999999999
0.45,0.43600000000000005,0.013999999999999957
0.07,0.089,-0.01899999999999999
0.15,0.20400000000000001,-0.05400000000000002
0.36,0.24300000000000005,0.11699999999999994
0.18,0.143,0.037000000000000005
-1.2,-1.4020000000000001,0.20200000000000018
0.61,0.621,-0.01100000000000001
0.41,0.362,0.04799999999999999
0.85,0.829,0.02100000000000002
