epsEstimated,time,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime,sma_5,sma_10,sma_20,ema_5,ema_10,ema_20,volatility_5,volatility_10,rsi_14,wma_5,wma_10,wma_20,lastSurp,last2Surp,lastEps,last2Eps,lastEst,last2Est,dow,month,day,year
0.59,0,42.560001,42.560001,38.360001,39.630001,25.555803,1554700,1554700,-2.93,-6.884,40.18333,-0.06884,26.811,26.843,26.875,26.631,26.794,26.915,0.584,0.307,34.631,26.697,26.791,26.869,41.66666666666668,25.0,0.68,0.65,0.48,0.52,1,5,12,2015
1.96,1,309.470001,311.799988,303.5,305.01001,305.01001,1280400,1280400,-4.45999,-1.441,306.77,-0.01441,308.656,306.182,300.291,307.732,305.768,301.627,6.976,31.564,55.768,308.421,308.054,303.298,-1.304347826086948,11.304347826086968,2.27,2.56,2.3,2.3,1,2,5,2013
1.21,1,55.459999,55.93,53.830002,54.400002,54.400002,294800,294800,-1.06,-1.911,54.72,-0.01911,53.455,54.095,54.7,53.7,53.959,54.249,0.466,1.399,45.547,53.582,53.711,54.388,-7.200000000000006,-12.359550561797752,1.16,0.78,1.25,0.89,0,11,8,2021
-0.51,1,9.35,9.55,9.26,9.46,9.46,91615,91615,0.11,1.176,9.42333,0.01176,9.138,8.926,8.477,9.199,8.964,8.671,0.072,0.091,65.687,9.259,9.069,8.78,28.571428571428577,16.129032258064512,-0.4,-0.52,-0.56,-0.62,1,11,5,2019
0.24,0,11.76,11.78,11.52,11.74,10.175011,1113000,1113000,-0.02,-0.17,11.68,-0.0017,10.216,9.994,9.616,10.087,9.977,9.726,0.033,0.129,57.113,10.14,10.117,9.849,4.1666666666666705,19.04761904761905,0.25,0.25,0.24,0.21,3,10,31,2019
0.58,0,42.189999,44.099998,41.005001,43.259998,33.141869,15525800,15525800,1.07,2.536,42.78833,0.02536,32.299,32.603,33.445,32.511,32.72,33.001,0.29,0.256,51.425,32.359,32.471,32.998,0.0,2.0833333333333353,0.3,0.98,0.3,0.96,2,1,29,2014
3.0,1,227.79,227.8,223.81,227.2,227.2,1132800,1132800,-0.59,-0.259,226.27,-0.00259,230.614,236.221,235.975,230.526,233.559,235.947,17.6,43.488,36.471,228.911,233.389,235.753,3.012048192771087,0.2673796791443793,3.42,3.75,3.32,3.74,3,4,26,2018
3.09,0,322.070007,330.570007,320.200012,321.850006,316.249634,4455400,4455400,-0.22,-0.068,324.20668,-0.00068,321.013,315.838,305.943,319.421,315.734,310.657,14.714,42.159,57.255,321.174,318.639,311.574,34.848484848484844,2.4793388429752152,7.12,3.72,5.28,3.63,2,10,14,2020
0.43,0,41.57,43.290001,41.509998,42.459999,38.413197,3961100,3961100,0.89,2.141,42.42,0.02141,38.929,39.758,40.172,38.766,39.416,40.206,0.684,1.094,23.891,38.545,39.257,39.834,5.434782608695644,7.1428571428571495,0.97,0.45,0.92,0.42,2,2,7,2018
3.24,0,107.919998,110.0,103.919998,104.370003,104.370003,2069900,2069900,-3.55,-3.289,106.09667,-0.03289,106.596,106.469,109.058,105.987,106.797,107.785,3.163,2.871,40.724,106.153,106.239,107.65,41.095890410958916,40.59829059829061,4.12,3.29,2.92,2.34,2,12,8,2021
0.14,0,11.92,11.92,11.75,11.81,7.503989,502100,502100,-0.11,-0.923,11.82667,-0.00923,8.415,8.417,8.494,8.411,8.43,8.461,0.001,0.001,43.051,8.412,8.412,8.448,7.692307692307699,-7.692307692307699,0.14,0.12,0.13,0.13,0,7,28,2014
0.39,1,22.290001,22.51,21.92,22.370001,22.370001,110800,110800,0.08,0.359,22.26667,0.00359,22.366,21.923,20.375,22.224,21.747,20.949,0.084,0.839,68.042,22.295,22.238,21.247,6.000000000000005,5.084745762711869,0.53,0.62,0.5,0.59,2,4,24,2019
0.36,1,26.610001,26.785,25.389999,25.51,24.914186,567900,567900,-1.1,-4.134,25.895,-0.04134,26.713,27.655,28.121,26.317,27.179,28.169,1.903,1.898,23.885,26.074,27.015,27.701,6.66666666666666,1.960784313725492,0.48,0.52,0.45,0.51,2,2,26,2020
0.54,0,25.18,27.219999,24.99,26.475,24.399321,8217000,8217000,1.295,5.143,26.22833,0.05143,26.183,26.294,26.479,25.811,26.163,26.32,1.07,0.549,27.075,25.851,26.156,26.362,0.0,0.0,0.48,0.32,0.48,0.32,3,12,4,2014
2.8,1,148.66,151.435,148.42,150.01,150.01,611526,611526,1.35,0.908,149.955,0.00908,150.09,149.653,145.753,149.757,148.753,146.892,0.554,7.625,57.971,149.897,150.046,147.65,-2.164502164502176,0.0,2.26,2.6,2.31,2.6,1,8,9,2016
-0.7,1,98.93,99.73,94.365,94.88,94.88,383582,383582,-4.05,-4.094,96.325,-0.04094,98.414,99.265,95.478,97.698,97.685,95.452,3.25,3.391,52.919,97.741,98.538,97.564,582.6923076923076,57.04225352112676,2.51,-0.61,-0.52,-1.42,3,2,25,2021
-0.52,0,50.0,53.5855,49.33,50.06,50.06,2101750,2101750,0.06,0.12,50.99183,0.0012,50.986,54.236,56.968,51.455,53.466,55.402,3.533,16.966,38.16,50.658,52.337,55.338,-54.38596491228071,2.4390243902438913,-0.88,-0.8,-0.57,-0.82,3,3,19,2020
0.43,1,7.183333,7.253333,7.15,7.21,6.135999,28321200,28321200,0.02667,0.371,7.20444,0.00371,6.018,6.02,6.005,6.043,6.026,6.059,0.003,0.003,50.718,6.043,6.028,5.996,4.255319148936175,13.157894736842103,0.49,0.43,0.47,0.38,1,10,16,2012
0.63,1,55.75,56.43,55.389999,55.41,54.077816,2814200,2814200,-0.34,-0.61,55.74333,-0.0061,53.41,53.18,52.643,53.494,53.161,52.728,0.149,0.175,58.104,53.573,53.353,52.943,0.0,3.3333333333333366,0.63,0.62,0.63,0.6,1,2,5,2019
0.31,1,13.5,13.52,12.93,12.98,8.634343,463700,463700,-0.52,-3.852,13.14333,-0.03852,8.145,8.164,8.158,8.071,8.125,8.143,0.029,0.015,29.407,8.075,8.135,8.151,6.666666666666673,0.0,0.32,0.28,0.3,0.28,3,11,3,2016
0.3,1,20.5,20.940001,20.2875,20.76,19.184544,124400,124400,0.26,1.268,20.6625,0.01268,18.942,18.978,18.901,19.01,18.957,18.896,0.078,0.049,55.713,18.996,18.963,18.935,11.111111111111121,11.111111111111121,0.4,0.2,0.36,0.18,2,2,4,2015
0.33,0,78.5,82.449997,77.779999,82.279999,81.689201,1359800,1359800,3.78,4.815,80.83667,0.04815,76.064,76.484,77.7,77.181,76.936,77.967,7.122,4.491,55.718,76.851,76.532,76.94,6.66666666666666,-61.53846153846154,0.48,0.15,0.45,0.39,3,11,5,2020
0.76,0,38.27,39.040001,38.200001,38.48,27.960089,219000,219000,0.21,0.549,38.57333,0.00549,27.432,27.127,26.67,27.426,27.161,26.752,0.036,0.12,76.326,27.516,27.29,26.963,2.4390243902439046,6.896551724137938,0.42,0.31,0.41,0.29,3,2,14,2013
3.99,0,138.5,139.470001,130.020004,133.479996,127.275299,2615400,2615400,-5.02,-3.625,134.32333,-0.03625,131.204,129.632,133.524,130.119,130.964,134.109,7.569,6.307,35.732,130.651,130.218,131.302,-0.8016032064128262,3.658536585365848,4.95,5.1,4.99,4.92,3,10,25,2018
1.95,1,116.57,117.900002,116.239998,116.559998,114.266357,15466900,15466900,-0.01,-0.009,116.9,-9e-05,112.21,111.346,109.732,112.673,111.507,109.664,2.284,2.245,76.285,112.887,111.993,110.804,8.235294117647067,17.391304347826072,1.84,1.89,1.7,1.61,1,8,7,2018
1.54,1,66.339996,66.910004,66.339996,66.629997,56.935902,439500,439500,0.29,0.437,66.62667,0.00437,56.37,55.454,55.533,56.339,55.927,55.753,0.239,1.064,59.972,56.586,55.893,55.646,0.7092198581560291,13.999999999999998,1.42,1.71,1.41,1.5,2,4,23,2014
0.35,1,17.209999,17.48,17.18,17.26,15.896833,1057000,1057000,0.05,0.291,17.30667,0.00291,15.825,15.814,15.911,15.824,15.842,15.858,0.009,0.007,47.482,15.833,15.819,15.859,5.71428571428572,2.9411764705882213,0.37,0.35,0.35,0.34,1,1,21,2020
0.53,1,32.98,33.110001,32.509998,32.529999,28.700285,6731800,6731800,-0.45,-1.364,32.71667,-0.01364,29.494,29.74,29.654,29.469,29.591,29.657,0.039,0.176,42.917,29.426,29.615,29.665,-20.000000000000004,-4.0000000000000036,0.36,0.96,0.45,1.0,2,5,1,2019
